NO,age,gender,edu,Religious,Marital,work_time(y),Clinical ladder,Ward,Experience die number,Experience die number in nurse,Experience die number in clincal,care class,GSES,Preparedness,care_symptom,care_Evaluate,care_explain,care_respect,care,difficult_symptom,difficult_Evaluate,difficult_explain,difficult_respect,difficult
166,47,2,1,2,2,26.1,2,1,3,3,3,2,29,24,12,12,12,12,48,6,8,9,10,33
172,28,2,2,1,1,6,2,1,2,2,3,2,36,24,13,12,12,14,51,6,6,6,6,24
152,25,2,2,1,2,1.9,1,1,1,1,3,2,26,19,11,12,9,15,47,7,7,7,9,30
177,27,2,1,2,1,7,2,1,2,1,3,2,40,32,15,15,15,15,60,3,3,3,3,12
160,29,2,2,1,1,2.2,2,1,2,3,3,2,30,16,12,12,12,12,48,9,9,9,9,36
169,26,2,2,1,1,1.9,1,1,2,1,3,2,15,16,15,15,9,15,54,8,6,10,12,36
156,29,2,1,1,2,5.6,2,1,2,1,3,1,20,8,12,9,9,9,39,9,9,9,9,36
164,24,2,2,1,1,2.1,1,1,2,1,2,2,20,8,10,9,5,9,33,6,6,6,6,24
170,58,2,2,1,1,33.6,2,1,2,2,3,1,31,16,11,11,5,11,38,6,6,12,9,33
168,27,2,2,2,1,4,1,1,1,2,3,2,24,21,12,12,12,15,51,3,3,3,3,12
178,24,2,2,1,1,1.1,1,1,2,1,3,1,18,14,12,8,9,14,43,8,6,9,11,34
175,26,2,2,1,1,3.9,2,1,3,1,4,2,29,16,15,14,8,14,51,3,8,10,3,24
167,30,2,2,2,2,6.9,2,1,2,1,3,2,16,15,12,8,5,15,40,3,6,10,3,22
159,24,2,2,1,1,2.1,1,1,1,1,3,1,29,13,12,9,9,9,39,9,9,9,9,36
157,35,2,2,1,2,9.5,2,1,3,1,4,2,21,16,15,12,9,11,47,6,6,6,9,27
158,41,2,2,2,1,14.4,2,1,3,1,3,2,30,9,12,9,9,9,39,6,9,9,9,33
171,27,2,2,1,1,1.9,1,1,2,1,1,2,10,0,9,6,9,9,33,9,9,9,9,36
176,33,2,2,1,1,4.1,2,1,1,2,3,2,24,16,11,9,7,13,40,7,6,8,9,30
161,28,2,2,2,1,1.1,1,1,1,1,3,1,23,14,9,9,10,15,43,7,6,6,3,22
162,25,2,3,1,1,0.6,1,1,2,1,4,2,20,12,9,9,7,12,37,9,6,8,6,29
155,31,2,2,1,2,8.1,2,1,2,1,3,1,23,16,9,9,9,9,36,9,9,9,9,36
163,25,2,2,1,1,2.9,1,1,2,2,4,2,30,23,12,12,12,12,48,6,6,6,6,24
173,62,2,3,2,2,26.8,2,1,3,3,3,2,30,16,12,11,9,10,42,9,7,9,9,34
153,23,2,2,1,1,1.1,1,1,3,1,3,2,27,17,12,12,12,15,51,6,6,6,3,21
154,24,2,2,2,1,2,1,1,2,1,3,1,29,16,9,11,8,12,40,12,12,12,12,48
165,25,2,2,1,1,1.8,1,1,1,1,2,2,20,16,12,9,9,9,39,6,6,6,6,24
